DATA,SIGLA_ESTADO,MUNICIPIO,CODIGO_MUNICIPIO_7,OBITOS_NOVOS,OBITOS,CASOS_NOVOS,CASOS,POPULACAO_ESTIMADA,OBITOS_NOVOS_MEDIA_14_DIAS,TAXA_OBITOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_56_DIAS,TAXA_CASOS_NOVOS_MEDIA_14_DIAS,TAXA_CASOS_NOVOS_MEDIA_56_DIAS,TAXA_FATALIDADE,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975
2021-05-20,TOTAL,TOTAL,0,2510,444473,83378,15908479,210147125,1942.2142857142856,0.9242164439386386,63625.57142857143,63814.42857142857,30.276679459008268,30.36654846999624,3.246690443809485,0.9927362307277908,1.1072630206504142e-06,0.9906741746671368,0.9927358586832992,0.9948004010866208
2021-05-21,TOTAL,TOTAL,0,2126,446599,76621,15985100,210147125,1938.071428571429,0.9222450359820192,63610.642857142855,63748.05357142857,30.269575592405964,30.334963455449877,3.2108083289549048,0.988025195684746,1.1023343174999285e-06,0.9859678248566444,0.9880248235621376,0.9900846812549512
2021-05-22,TOTAL,TOTAL,0,1726,448325,67893,16052993,210147125,1912.7857142857144,0.9102126494881688,64049.5,63501.642857142855,30.47840887663821,30.21770716927146,3.176529340104172,0.9837846601493516,1.0988011804509091e-06,0.98173087133364,0.983784287721978,0.9858405654391242
2021-05-23,TOTAL,TOTAL,0,889,449214,38490,16091483,210147125,1910.4285714285716,0.9090909863404372,64461.642857142855,63350.482142857145,30.6745299785295,30.145776271199114,3.1760771777491725,0.9804458074055142,1.0970221834643394e-06,0.9783931814348814,0.9804454341318248,0.9825005546597506
2021-05-24,TOTAL,TOTAL,0,861,450075,37466,16128949,210147125,1892.571428571429,0.9005935382515601,64545.857142857145,63258.69642857143,30.714603943716643,30.102099388022285,3.1318852776805897,0.9785507113995278,1.097333284911702e-06,0.976498578702422,0.9785503375819828,0.9806049684709242
2021-05-25,TOTAL,TOTAL,0,2183,452258,74026,16202975,210147125,1888.2142857142856,0.8985201609178739,64827.57142857143,63037.267857142855,30.848659684766773,29.99673103172021,3.146038799756743,0.9780825773841378,1.0999396355301704e-06,0.9760281043768512,0.9780822025335272,0.9801391806365424
2021-05-26,TOTAL,TOTAL,0,2463,454721,80231,16283206,210147125,1879.7857142857144,0.8945093654199239,65112.857142857145,62885.80357142857,30.984414915434677,29.924655677030355,3.135843247159308,0.9793286285253562,1.1047821029589477e-06,0.977269677118748,0.9793282525174164,0.9813897167540888
2021-05-27,TOTAL,TOTAL,0,2101,456822,64520,16347726,210147125,1867.2142857142856,0.8885271619653544,64005.857142857145,62470.82142857143,30.457641113509,29.727183480892933,3.07307261413959,0.9822431535540248,1.1116329889898146e-06,0.9801778526431338,0.9822427763459513,0.9843105981073
2021-05-28,TOTAL,TOTAL,0,2425,459247,53875,16401601,210147125,1884.2142857142856,0.8966167325459655,62289.07142857143,62194.107142857145,29.640696454244345,29.595507025307693,3.07965494415433,0.986667065029376,1.1198214137862654e-06,0.9845931001607988,0.9866666863555408,0.9887431818701392
2021-05-29,TOTAL,TOTAL,0,1939,461186,75861,16477462,210147125,1879.7857142857144,0.8945093654199239,62897.142857142855,62846.08928571428,29.930051556566784,29.905757352480688,3.040262656882497,0.9924075988269888,1.1290778444498323e-06,0.9903258111584154,0.99240721949878,0.9944915421865
