days_to_recovery,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,date_first_case,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_case_fatality_probability_1,x_loss_immunity_in_days_1,x_case_fatality_probability_2,x_loss_immunity_in_days_2,x_case_fatality_probability_3,x_loss_immunity_in_days_3,x_case_fatality_probability_4,x_loss_immunity_in_days_4,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1,x_days_between_infections_2,x_breakpoint_2,x_transition_days_between_epidemic_periods_2,x_days_between_infections_3,x_breakpoint_3,x_transition_days_between_epidemic_periods_3,x_days_between_infections_4,x_breakpoint_4,x_transition_days_between_epidemic_periods_4,x_days_between_infections_5,x_breakpoint_5,x_transition_days_between_epidemic_periods_5,x_days_between_infections_6,x_breakpoint_6,x_transition_days_between_epidemic_periods_6,x_days_between_infections_7,x_breakpoint_7,x_transition_days_between_epidemic_periods_7,x_days_between_infections_8,x_breakpoint_8,x_transition_days_between_epidemic_periods_8,x_days_between_infections_9,x_breakpoint_9,x_transition_days_between_epidemic_periods_9,x_days_between_infections_10,x_breakpoint_10,x_transition_days_between_epidemic_periods_10
20.0,10.0,0.4564470893873891,99084.0,461.0,True,2023-11-27 20:26:49,2023-11-27 21:48:45,4915.392387,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0423074424420864,7.949341014391278,0.0125516196393995,287.7746264634709,0.0115991780207814,199.34597980065448,0.0015487067508237,94.84781403014271,0.0003364011620041,187.93727658878788,0.0001022017318932,317.9568880351401,7.971131703540538,28.35227673280725,42.2722905203022,5.9960219999993125,107.85364372835444,21.139924416124963,20.98956488757688,117.94796891960104,27.509056801018588,16.22783057657628,254.1046232789555,4.075688346325613,13.876779539152396,315.0884824693201,44.474089805159565,10.458945963475788,368.3746807230359,11.742014385638136,12.616330556334452,443.8844188443233,48.69047299515314,11.28938725154856,670.7600772077096,22.6779868995296,7.737103875713823,802.4782112297257,12.37828657424916,4.045428922440335,970.9414995167792,12.093953210216052
8.0,11.0,0.1646410400260081,185857.0,874.0,True,2023-11-27 21:48:45,2023-11-28 00:42:15,10410.303035,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0360317601886687,3.30099888070074,0.008778249685972,295.0986014593325,0.0036594868712931,332.3346346796972,0.0028287190106498,265.63318328599746,0.0004592118297044,275.42093103501486,0.0001115306439577,334.5336957370587,8.265303029778536,55.5989429798495,32.9102570348512,7.073122251373874,110.9059031660438,25.804340126857973,7.535415578366162,120.78124965042342,46.35834104841196,6.134924624731568,259.16428751534465,0.7862101599471139,6.312411139893876,314.22720015243084,34.27170775929063,5.019557008619485,360.3211508041064,3.7713033086046224,4.006255992833925,447.99133087126,1.0902181655000014,2.5355488516408218,675.6326893603812,5.037042636129279,1.8713955812537488,801.903361629992,4.671951003144297,1.4938181753868356,981.2441497174146,2.802300231099633
9.0,11.0,0.1735131029948489,169385.0,780.0,True,2023-11-28 00:42:15,2023-11-28 03:30:28,10093.137433,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0402371995789259,3.5846738824628845,0.0127512885578377,114.34442800846152,0.0035661145723598,197.6992014981789,0.0022550859257665,189.74707803359183,0.000450106708842,327.0628570446947,0.000106791055574,265.5488204880148,9.29770584384241,57.07595335157869,33.207170030381086,8.012818180377678,113.623973548293,20.90312918023921,8.621858631460263,134.82846582288653,45.210629067588286,7.05357597820508,255.8313601156041,8.849488625022158,7.32912289874429,311.0194152670141,25.63160904646602,5.642437546778849,360.0297902214538,5.625928945648738,4.410540162134979,447.4180326841929,0.9727775505869865,2.6180483378882333,675.8417995903541,5.265853794212653,2.0210463754820447,800.7107328283436,5.302354399265511,1.652008602150149,984.6038286102864,18.91742430491825
10.0,11.0,0.1975689128399315,139110.0,643.0,True,2023-11-28 03:30:28,2023-11-28 05:41:39,7870.932695,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0410983394216969,3.966186282258383,0.0128775957239358,224.62540498412977,0.0039078646540092,220.78996543258745,0.0022157403959514,178.35883453390406,0.0003691850141218,243.43112052992703,0.0001149051659955,269.44620524671336,10.047271522360449,62.80664619954498,26.09949118060308,8.697301197282266,113.28495905230584,17.28776089521565,9.620056252275113,123.9967820914785,46.57057316784859,7.728257758332859,255.95199592082287,8.046303122058294,7.959966364547741,316.03278690248334,11.295405006909704,6.217446534602164,360.7155392389535,6.95423957075629,4.9945816169439805,446.8453555787743,1.0345859442912335,2.834630008974848,674.6251120698945,4.632565505264132,2.289596904948504,804.1990920498462,1.8675127672143568,1.866013437921916,979.189053135798,3.512683973886816
11.0,11.0,0.2202047605995311,141542.0,664.0,True,2023-11-28 05:41:39,2023-11-28 07:54:16,7956.875682,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0424983988363522,4.3874831531958325,0.0127955519807582,226.8390006642552,0.0130486403532812,266.4462089729177,0.0022233150721329,91.82905217955522,0.0003181288486855,160.334014487105,0.0001003766406213,312.9610824551589,10.980492000835122,67.58347124387893,20.433810468820248,10.144383820992122,113.61653365514654,8.455177613227509,11.624344387640958,133.62114485583777,43.73213163838204,8.68725429972301,257.025002351435,10.581098236964138,9.248891194428811,313.06530071442376,27.125913143434264,7.500209526536979,359.16653571595486,5.941538062646181,8.21989166308761,443.6290111848915,53.20822280768154,3.851124319995131,673.9728637818164,11.55869895877568,2.719871695896261,802.1758181714057,5.7973339632680165,2.0551223482431764,978.0292816474478,13.048503259560588
12.0,11.0,0.2866382043452793,137047.0,617.0,True,2023-11-28 07:54:16,2023-11-28 10:06:03,7907.07542,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0377339043461793,4.783843005682132,0.0130583917218056,284.0760875341815,0.0049873163964071,323.32963547749245,0.0025998151486181,183.1390187606494,0.0003244081989355,184.6894902849503,0.0001141745670158,317.67013744000405,6.441024492337576,53.85638593655937,14.377677849040806,10.816444478518276,107.07305001649586,1.2690251244102733,11.947191513116348,117.6391802700443,51.78626154781208,8.95579151628004,254.7050449643442,12.665532063951174,9.85774425879518,316.14357892518825,22.046594903507472,7.702700641841586,354.2803388991716,6.986276753732792,7.024745401533468,443.0739538806279,7.036482553240276,3.8056986941505135,668.2906405347865,10.76883159311005,2.779697877180338,797.7674010312055,13.899851402405275,2.2003642696472814,970.838370038194,6.723003723113013
13.0,11.0,0.2950642291776751,91361.0,406.0,True,2023-11-28 10:06:03,2023-11-28 11:31:08,5105.161503,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0416833009152964,5.1692029746448505,0.0132443068036116,302.15255325625185,0.0100180394106558,308.53824387722983,0.0015828179930724,105.36243454299928,0.0003044918031156,279.7366546583023,0.0001186089637467,310.37471102447773,13.242511958945167,81.85305597520934,10.439239060508,11.880031569088302,111.9657339295608,0.3772180377281486,13.696222608669682,135.21655010897766,46.49810608461202,9.552313206351268,256.8817639589435,7.854698927646801,10.79314097064234,311.69703692614775,33.094719529494895,8.144424216062381,360.8067513319506,1.9399539945125848,7.351853318851526,445.0509978602159,10.420102532603998,6.968616511280525,669.4810732607067,26.09213593846172,4.812636220878257,801.9739727510423,11.170375672285168,2.654565396960083,973.5504839738626,11.53948254236511
14.0,11.0,0.3326320494072035,169044.0,788.0,True,2023-11-28 11:31:08,2023-11-28 13:51:23,8414.857162,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0426739098448281,5.56348380445776,0.0127819302316583,165.31807531244183,0.0084112758273051,193.16756095928696,0.0021750923244756,93.49441326626037,0.0004575131481426,319.033842639739,0.0001014315647192,358.357771286148,9.257990774327649,86.29378361150276,11.80326756897534,11.9739111610713,110.7971460653322,1.757583541863255,14.62527568463599,117.8954738402194,51.53094298678042,10.6414872219982,256.6000102516673,13.59522173525217,11.650963457621474,311.8952479915648,13.749067204982907,9.027200717522623,352.7276637319894,11.320933949642114,10.122458526522925,445.0114832896396,50.14239768265281,8.05409138736894,667.8658124925126,6.051698764071144,5.408192777081673,807.9827720500884,15.105083113814535,2.710581114667228,971.3629681566158,15.115255442515108
15.0,11.0,0.3572864732022812,151822.0,715.0,True,2023-11-28 13:51:23,2023-11-28 16:01:34,7810.29065,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0414572257098807,6.041615988772672,0.0130530383568183,91.48038997440192,0.0050256291588765,198.33256323991787,0.0017815625282899,186.04404935212207,0.0003597257091529,182.3638590395361,0.000106450197987,324.2789623616713,6.313128859747071,74.44054874477197,1.6374356987639622,13.663293429538944,113.89023746418104,4.764909419832229,15.083514090032988,120.52609252614924,49.50983516213813,10.761397107713393,258.2334792478265,12.57972927809731,11.67360672208086,315.1841642797528,46.78689141119983,8.464528869673574,359.39531218816154,11.397228716632103,6.468657096892919,444.7820608179233,4.051337839432758,7.694062320601983,670.8512047969487,51.12743583316423,5.5348690801757,804.114763165118,11.307098399400608,3.002253990693627,974.3094264029072,15.317912536528135
16.0,11.0,0.3688221918287376,145387.0,669.0,True,2023-11-28 16:01:34,2023-11-28 18:08:09,7595.3588,5.0,1050.0,2020-02-16 00:00:00,"[3, 6, 7, 9]",0.0421085401158639,6.353646569829123,0.0127550079481614,199.2560595976013,0.0071825143352901,228.6025210949233,0.0016168659198176,114.8656662749132,0.0003119834452312,303.7616597423017,0.000105337925625,358.45600440367303,6.400872166451742,73.62712256498396,36.075676613306136,12.556191883532142,110.66895363908614,4.420012761068545,16.62504913805909,120.48401739379352,47.65038932791667,11.73361394607062,253.67090769192023,2.75375206528782,12.62946959884775,315.16181811672715,50.33023713947667,9.275829007165433,355.74030414632705,4.3897924977917135,8.269559745308579,443.1850297740168,2.155208025374012,7.545282849827936,667.9985112540307,9.290351862067688,5.100656533707864,801.716462468447,15.248525235963935,2.9668331704469715,970.23617721619,10.647647590766994
