,DATA,OBITOS_NOVOS_PAINEL,OBITOS_ACUMULADO_PAINEL,CASOS_NOVOS_PAINEL,CASOS_ACUMULADO_PAINEL,day_of_week,CASOS_NOVOS_MEDIA_MOVEL_7_DIAS_PAINEL,OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_PAINEL,OBITOS_NOVOS_SIM,OBITOS_ACUMULADO_SIM,OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_SIM,POPULACAO_2022,TAXA_OBITOS_NOVOS_SIM,TAXA_OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_SIM,TAXA_OBITOS_SIM,NOVOS_CASOS_SRAG,NOVOS_OBITOS_SRAG,CASOS_INICIO_SINTOMAS_ESTIMADOS,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_QUANTIL_0.975,NUMERO_REPRODUCAO_EFETIVO_SRAG_MEDIA,NUMERO_REPRODUCAO_EFETIVO_SRAG_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_SRAG_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_SRAG_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_SRAG_QUANTIL_0.975,TAXA_FATALIDADE,TAXA_FATALIDADE_SRAG,NOVOS_OBITOS_MEDIA_MOVEL_7_DIAS_SRAG,NOVOS_CASOS_MEDIA_MOVEL_7_DIAS_SRAG,EPIDEMIC_EPISODE,ONSET_NUMERO_REPRODUCAO_EFETIVO_MEDIA,ONSET_TAXA_OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS
967,2022-10-10,26.0,686877.0,4682.0,34724189.0,0.0,5665.714285714285,72.28571428571429,15.0,696371.0,12.571428571428571,203062512.0,0.0073868878367859,0.0061909155203539,342.934297986031,78,19.0,574.2856969162943,0.9005251027455701,1.2201461160002476e-05,0.8937083344916115,0.9005206083572077,0.9073788687822834,0.9459868479889916,0.0001090525841981,0.925596424059174,0.945948463964044,0.9665519018056146,1.0410998392849455,0.0012794802536776,0.9723637047906476,1.0406908299052635,1.1123701662877163,0.2270613930757087,36.440677966101696,18.428571428571427,52.57142857142857,3,8,
968,2022-10-11,86.0,686963.0,7350.0,34731539.0,1.0,5663.285714285715,71.28571428571429,12.0,696383.0,12.571428571428571,203062512.0,0.0059095102694287,0.0061909155203539,342.94020749630045,58,11.0,579.7291632377759,0.9158890711869916,1.2629992060556756e-05,0.9089373556952528,0.915884475452843,0.9228669038524302,0.9599548819278628,0.0001118593194261,0.939360213077298,0.959916157979128,0.9807624808887748,1.0541019343817757,0.0012904162351521,0.9853527371911835,1.0537035838903337,1.1255654325378777,0.1784348712719857,33.42857142857143,16.714285714285715,54.71428571428572,3,8,
969,2022-10-12,63.0,687026.0,5114.0,34736653.0,2.0,5376.571428571428,64.71428571428571,14.0,696397.0,12.714285714285714,203062512.0,0.0068944286476668,0.0062612668330852,342.94710192494813,62,12.0,585.1726295592573,0.9344136021123984,1.308909721365455e-05,0.9273368704616242,0.9344089340485712,0.9415168619804218,0.9758384239309787,0.0001147264145742,0.954904451778596,0.9757991792335788,0.9969815518042154,1.0688586682030543,0.0013030787803697,0.9989983992523994,1.0684459678699505,1.1413257219282436,0.2037549119487701,30.53221288515406,15.571428571428571,56.42857142857143,3,8,
970,2022-10-13,43.0,687069.0,3212.0,34739865.0,3.0,4661.714285714285,51.85714285714285,14.0,696411.0,12.714285714285714,203062512.0,0.0068944286476668,0.0062612668330852,342.95399635359576,66,16.0,568.8422305948129,0.954409923833118,1.3560509325175852e-05,0.9472063492643686,0.9544051883376388,0.9616337601783882,0.993825860863307,0.0001176579672964,0.9726507989025044,0.9937863436326088,1.0152123794478571,1.085937184049388,0.0013115411957092,1.0157541548921951,1.0855246814334771,1.1579082565944088,0.206246317030053,26.715686274509803,15.571428571428571,58.0,3,8,
971,2022-10-14,75.0,687144.0,6597.0,34746462.0,4.0,4475.0,48.71428571428572,10.0,696421.0,12.142857142857142,203062512.0,0.0049245918911906,0.00597986158216,342.95892094548697,58,13.0,557.95529795185,0.9741506538053312,1.399792755811501e-05,0.966829784967979,0.97414586197439,0.9814987972218726,1.0140436636612205,0.0001206796723492,0.9926762220828892,1.0140041821743289,1.0357018441698305,1.1015074067456156,0.0013185270234271,1.0316773166151345,1.1011137236891184,1.1738187720326332,0.1479508803077378,24.47058823529412,14.857142857142858,59.57142857142857,3,8,
972,2022-10-15,9.0,687153.0,2216.0,34748678.0,5.0,4236.142857142857,44.42857142857143,11.0,696432.0,12.142857142857142,203062512.0,0.0054170510803096,0.00597986158216,342.9643379965673,60,10.0,563.3987642733315,0.9926259514154608,1.438011536421177e-05,0.985205749808196,0.992621120444194,1.0000736070294969,1.03692737063113,0.0001235627760106,1.015209938778452,1.036887488503052,1.0587605612588924,1.1192958747532618,0.0013203163624838,1.048776000751375,1.1189047710109183,1.1914301940123266,0.1665188901624099,22.897196261682243,14.0,62.142857142857146,3,8,
973,2022-10-16,2.0,687155.0,380.0,34749058.0,6.0,4221.571428571428,43.42857142857143,10.0,696442.0,12.285714285714286,203062512.0,0.0049245918911906,0.0060502128948913,342.9692625884585,74,12.0,560.6770311125907,1.0081537588969776,1.4682407078957424e-05,1.0006564410787142,1.0081489030452666,1.0156786721155515,1.0621627254621018,0.0001265019955494,1.0403490760658962,1.062123254322079,1.0842553505244186,1.1365611796150192,0.0013181742715636,1.0660673255833988,1.1361665520298323,1.2088150102622706,0.1544606015137139,21.77985948477752,13.285714285714286,65.14285714285714,3,8,
974,2022-10-17,88.0,687243.0,5532.0,34754590.0,0.0,4343.0,52.285714285714285,6.0,696448.0,11.0,203062512.0,0.0029547551347143,0.0054170510803096,342.9722173435932,63,9.0,590.6160958807387,1.0197842475558598,1.488115770789823e-05,1.012233353578214,1.0197793782941316,1.0273628131418724,1.0910282855454685,0.0001293796904312,1.0687132618811113,1.0909885313903973,1.1134983295554408,1.1545283455470357,0.0013137978925505,1.0832274092353802,1.154141603586205,1.2269713908861126,0.0936935329154304,19.080459770114945,11.857142857142858,63.0,3,8,
975,2022-10-18,83.0,687326.0,8283.0,34762873.0,1.0,4476.285714285715,51.85714285714285,6.0,696454.0,10.142857142857142,203062512.0,0.0029547551347143,0.0049949432039219,342.9751720987279,73,9.0,634.1638264525905,1.026460418481162,1.4980145623690944e-05,1.0188977679717592,1.0264555659162855,1.0340506457121603,1.1224170963969122,0.0001319314876812,1.100048143071723,1.1223780280518936,1.1450322138901607,1.1736359304496866,0.001310958243803,1.103923494256998,1.1732611963002109,1.2458862767045498,0.0965472851822904,18.620689655172413,11.571428571428571,65.14285714285714,3,8,
976,2022-10-19,97.0,687423.0,8447.0,34771320.0,2.0,4952.428571428572,56.71428571428572,11.0,696465.0,9.714285714285714,203062512.0,0.0054170510803096,0.004783889265728,342.9805891498082,65,16.0,655.9376917385164,1.0286951319501405,1.4987249819974483e-05,1.0211081231094532,1.0286902586669775,1.0363098352527094,1.1567525818552828,0.0001340705119039,1.1341832466974155,1.156713998688106,1.17954118169721,1.1955563049042406,0.0013040911075403,1.125860196176598,1.195198500828536,1.267442967537976,0.1806960317274071,20.631067961165048,12.142857142857142,65.57142857142857,3,8,
977,2022-10-20,60.0,687483.0,4939.0,34776259.0,3.0,5199.142857142857,59.142857142857146,11.0,696476.0,9.285714285714286,203062512.0,0.0054170510803096,0.0045728353275341,342.98600620088854,96,11.0,683.1550233459236,1.02779107359093,1.4922927064839311e-05,1.0202209749690323,1.0277862177609178,1.0353887674899225,1.1938699273415967,0.0001358700844231,1.1710647609068825,1.193831766580578,1.2168652375419344,1.2216313020202705,0.0012987014790685,1.1520367118921735,1.2212772067566822,1.2939075218664498,0.1900530667653955,22.72727272727273,11.428571428571429,69.85714285714286,3,8,
978,2022-10-21,44.0,687527.0,4203.0,34780462.0,4.0,4857.142857142857,54.71428571428572,17.0,696493.0,10.285714285714286,203062512.0,0.008371806215024,0.0050652945166532,342.99437800710353,82,16.0,696.7636891496273,1.024481265438598,1.481657010597237e-05,1.016975406308012,1.0244764763432257,1.0320143405989373,1.2333077328770858,0.0001370226319898,1.2104743783474423,1.233270789621176,1.2563271333766082,1.248005684603969,0.001289170027945,1.1791892065668188,1.2476579892787427,1.3197030275316872,0.2976935007755041,23.98843930635838,11.857142857142858,73.28571428571429,3,8,
979,2022-10-22,39.0,687566.0,1688.0,34782150.0,5.0,4781.714285714285,59.0,8.0,696501.0,9.857142857142858,203062512.0,0.0039396735129525,0.0048542405784593,342.9983176806165,72,12.0,710.372354953331,1.020589405743854,1.4711809234847874e-05,1.0131087432090036,1.0205846236748912,1.0281026575513477,1.27348918954408,0.0001375430034049,1.250606779996717,1.273452842655307,1.2966885178934122,1.2788297224006566,0.0012763003996484,1.209375354856129,1.2784960352461208,1.3494062434634595,0.1412002017145739,23.097826086956523,12.142857142857142,75.0,3,8,
