days_to_fit_within_outbreak,outbreak,alpha,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,date_first_case,outbreak_start_date,max_date_to_fit,max_date_to_analyze,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1
42.0,0.0,0.0,5.0,0.20831973141079416,3971.0,96.0,True,2023-12-05 16:30:10,2023-12-05 16:30:41,30.377094,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.031877138527649077,3.1689351756345823,0.005395736684190514,114.3713160370427,5.974367016781652,41.56429006007086,19.441834063227475
42.0,0.0,0.0,6.0,0.2110869565669639,2693.0,62.0,True,2023-12-05 16:30:41,2023-12-05 16:31:03,22.201278,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.03510684291119421,3.18934675156943,0.005245727148417537,108.98141776421205,5.9577877753491215,41.69307882559889,18.720549107195016
42.0,0.0,0.0,7.0,0.20900536117300256,3952.0,95.0,True,2023-12-05 16:31:03,2023-12-05 16:31:32,29.570513,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.022056519791240257,3.1808369734436486,0.008681081939874545,273.1569028351387,5.996783533461788,40.84147883337204,18.29807534554557
42.0,0.0,0.0,8.0,0.2090258868017864,4149.0,110.0,True,2023-12-05 16:31:32,2023-12-05 16:32:02,29.978275,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.02357705451327769,3.1787831989376567,0.007395965050913245,282.38066069546807,6.000569599746559,41.87126706343292,19.25867893165308
42.0,0.0,0.0,9.0,0.20923913714541395,3438.0,89.0,True,2023-12-05 16:32:02,2023-12-05 16:32:26,23.490107,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.023049994892464426,3.175949205359858,0.0075522235849756645,243.50484158196346,5.97660599622169,41.73822596197609,19.341943570153852
42.0,0.0,0.0,10.0,0.20813759107841057,3367.0,84.0,True,2023-12-05 16:32:26,2023-12-05 16:32:52,25.912397,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.0272456872203435,3.1767959469031304,0.0067238540146806625,145.64991343351,5.980111732671813,40.939153775112196,18.143970823414193
42.0,0.0,0.0,11.0,0.20786824190128134,4319.0,100.0,True,2023-12-05 16:32:52,2023-12-05 16:33:22,30.360081,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.03040075770037312,3.1705279916169626,0.005918878447940208,175.00308773891692,6.011367224507081,41.107264417471185,18.287772806381852
42.0,0.0,0.0,12.0,0.20926898417055956,3948.0,107.0,True,2023-12-05 16:33:22,2023-12-05 16:33:49,27.341929,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.016170030271349643,3.1725281652407427,0.010552251131790095,255.49862668876892,6.010076919928747,41.84859656027813,18.778373217995806
42.0,0.0,0.0,13.0,0.20875651120253996,4181.0,110.0,True,2023-12-05 16:33:50,2023-12-05 16:34:18,28.531965,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.02425153086045679,3.172553494589942,0.0071398958183345245,352.8091199887459,5.992789326666295,41.62769431309993,18.728937164664544
42.0,0.0,0.0,14.0,0.20848632955414967,3703.0,100.0,True,2023-12-05 16:34:18,2023-12-05 16:34:43,25.372651,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.014566905096502488,3.1844419342285644,0.012873431625807844,135.72345581123142,6.004913042298627,41.208751510642024,18.47436466384862
42.0,0.0,0.0,15.0,0.20869639480609942,3413.0,78.0,True,2023-12-05 16:34:43,2023-12-05 16:35:08,24.789026,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.018934016078915414,3.1727426884596106,0.009525600353175963,215.75349974780787,5.995432469629806,41.199582419541215,19.21018238286797
42.0,0.0,0.0,16.0,0.20981818972450506,4171.0,112.0,True,2023-12-05 16:35:08,2023-12-05 16:35:38,30.269258,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.013772315995938492,3.171841680984141,0.01261298457795439,286.52280400095975,5.977098624275943,41.429307843037314,19.177618857235746
42.0,0.0,0.0,17.0,0.20930414190142102,3213.0,86.0,True,2023-12-05 16:35:39,2023-12-05 16:36:04,25.688768,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.024051087922749653,3.1752611042944143,0.007955360634200121,128.34297710051118,5.9449629045411285,40.48579607405115,17.997046582953566
42.0,0.0,0.0,18.0,0.2100345578517624,3590.0,89.0,True,2023-12-05 16:36:04,2023-12-05 16:36:28,24.008438,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.037738834846361,3.1766064821794604,0.004761689579657398,312.59419474726354,5.954939331257125,41.352790678601316,18.673102484739744
42.0,0.0,0.0,19.0,0.20860054229806935,3372.0,75.0,True,2023-12-05 16:36:28,2023-12-05 16:36:54,25.798262,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.027114707696793833,3.1819536880603163,0.0070225146445614985,298.8161649924819,5.989581426118787,40.93739345796825,18.351037836550717
49.0,0.0,0.0,0.0,0.15698636340557348,3595.0,88.0,True,2023-12-05 16:36:54,2023-12-05 16:37:24,30.272605,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.023623714863914052,3.1891870816846324,0.007840237498084733,156.10968711985188,6.253162170930407,42.8462453649584,20.089376762679976
49.0,0.0,0.0,1.0,0.15892997750944876,4283.0,96.0,True,2023-12-05 16:37:24,2023-12-05 16:38:00,36.125862,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.023198698236758672,3.1728091635442928,0.008163911166421034,213.7241357653041,6.257833328057986,42.16183298529498,20.1765939998977
49.0,0.0,0.0,2.0,0.15768264445528662,3698.0,93.0,True,2023-12-05 16:38:00,2023-12-05 16:38:26,25.345569,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.025364820669110107,3.190826617796979,0.007588806655046855,135.00030467828262,6.256230027885548,42.479544374266155,20.24099629640413
49.0,0.0,0.0,3.0,0.1555379265565617,4551.0,108.0,True,2023-12-05 16:38:26,2023-12-05 16:39:00,33.818152,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.019201179764374358,3.1863108198945165,0.009582539678084317,117.92016580190871,6.256007082547147,42.70492015932014,20.414801362508896
49.0,0.0,0.0,4.0,0.157149001448539,4201.0,90.0,True,2023-12-05 16:39:00,2023-12-05 16:39:31,30.888452,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.03368972997478662,3.1800473283096142,0.005338819335105676,243.1092907861348,6.244930881978615,42.61451103492668,19.585849217468677
49.0,0.0,0.0,5.0,0.15805055656482123,3121.0,82.0,True,2023-12-05 16:39:31,2023-12-05 16:39:52,21.596355,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.015253612094532826,3.1790795603023376,0.012032864947530822,112.2371106742846,6.235098972460075,42.2780463428613,20.40867283154406
49.0,0.0,0.0,6.0,0.15700556984413905,3273.0,74.0,True,2023-12-05 16:39:52,2023-12-05 16:40:18,25.403512,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.02062666161662904,3.1990154026488615,0.009172414639383463,204.6341344776712,6.230777233942856,42.835892802545835,20.00823240403012
49.0,0.0,0.0,7.0,0.15627398996001537,4619.0,120.0,True,2023-12-05 16:40:18,2023-12-05 16:40:50,32.258966,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.018195182200399604,3.1842412129647477,0.009966484487236334,211.8056117742959,6.223579378116256,42.618184150827275,19.82250137545079
49.0,0.0,0.0,8.0,0.15566997693250217,3764.0,83.0,True,2023-12-05 16:40:50,2023-12-05 16:41:16,26.463598,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.031814098463196376,3.17234541810662,0.005507874714327127,97.89639843760864,6.253922511298601,42.610399666788624,19.70805026900463
49.0,0.0,0.0,9.0,0.1566254919548084,3970.0,101.0,True,2023-12-05 16:41:16,2023-12-05 16:41:43,26.956112,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.030438311904201446,3.172355557627683,0.005887072414544309,145.54551300538492,6.2578408654106905,42.410179676878,20.355132345846265
49.0,0.0,0.0,10.0,0.1568794720156126,3646.0,81.0,True,2023-12-05 16:41:43,2023-12-05 16:42:09,25.738331,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.01739562239953358,3.1813740747043084,0.011065829709335765,139.4135082738714,6.264149105968769,42.19813760589706,19.916148534343417
49.0,0.0,0.0,11.0,0.15786334111024905,3687.0,84.0,True,2023-12-05 16:42:09,2023-12-05 16:42:36,26.625149,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.016992853847932397,3.1835212593563353,0.01105975308075491,242.0545019406575,6.219415765973029,42.30952542417699,19.959469792724548
49.0,0.0,0.0,12.0,0.1565911451885187,3385.0,90.0,True,2023-12-05 16:42:36,2023-12-05 16:42:57,21.243242,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.015288004259336324,3.174617307312469,0.012088421739493243,298.8133693912716,6.252342993724871,42.183119742368255,19.536284526519243
49.0,0.0,0.0,13.0,0.1571900061371066,4116.0,107.0,True,2023-12-05 16:42:57,2023-12-05 16:43:25,28.521772,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.014079916506876027,3.1872437158291915,0.013128309479015367,231.57543918229484,6.240671695087699,42.71143931794057,19.987381329301105
49.0,0.0,0.0,14.0,0.1565346042452273,3567.0,84.0,True,2023-12-05 16:43:25,2023-12-05 16:43:53,27.415215,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.032290193692958206,3.174289941044362,0.005455791836762253,315.65427934558005,6.256721914518861,42.717217968532104,19.8796226721729
49.0,0.0,0.0,15.0,0.15676041652284256,3473.0,90.0,True,2023-12-05 16:43:53,2023-12-05 16:44:17,24.34979,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.02680599746098089,3.179967954135307,0.0066775677405440555,159.05780836738813,6.24176038702719,42.814706109564504,19.52805782764305
49.0,0.0,0.0,16.0,0.15748981888945685,4723.0,96.0,True,2023-12-05 16:44:17,2023-12-05 16:44:52,35.075749,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.0373514526168551,3.188007806820329,0.004890528017958414,267.90069704076575,6.236869654952127,42.82101443190609,19.76546396151361
49.0,0.0,0.0,17.0,0.15596642691571877,4104.0,103.0,True,2023-12-05 16:44:52,2023-12-05 16:45:20,27.453024,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.0189641019064286,3.188721763131078,0.009737283893429831,217.12694673795673,6.236263315006767,42.66964432291803,19.6687076526659
49.0,0.0,0.0,18.0,0.15581009712068095,4535.0,116.0,True,2023-12-05 16:45:20,2023-12-05 16:45:52,32.324372,5.0,154.0,8.0,2020-02-16,2020-03-01,2020-04-19,2020-07-19,[],0.018703770011832075,3.185264791970246,0.009845747080029586,247.42014559363358,6.250312116301557,42.6667385596295,19.863155976014934
