date,S,I,R,D,I_accumulated,D_new_deaths,reproduction_number_sird,I_new_cases,days_between_infections,case_fatality_probability,loss_immunity_in_days,train_period,outbreak,alpha,estimation,days_to_fit_within_outbreak
2020-04-14,99291.61576489777,355.78116640532176,351.1552364423027,1.447832254618648,718.6834728966898,0.1679662722648192,1.7507081042706119,79.66675748733064,4.5407910058289325,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-15,99204.84094403981,396.99204413933177,396.53159472970884,1.6354170911557164,806.9128982731812,0.18758483653706848,1.7378948020715836,88.22942537649146,4.570661729192879,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-16,99109.02560607904,442.0800383092486,447.0500183256481,1.844337286062262,904.3671941070859,0.20892019490654556,1.7246032097693935,97.45429583390467,4.601862753452955,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-17,99003.46522986062,491.1889672179563,503.2688659671522,2.0769369542654212,1011.7777362108159,0.23259966820315925,1.7108097445344246,107.41054210373,4.634484970533077,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-18,98887.52865584879,544.5225492374977,565.6138012410222,2.3349936727026632,1129.7937964855025,0.258056718437242,1.6964893433653534,118.01606027468665,4.6686277455048835,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-19,98760.49191471972,602.2581125129244,634.6291773845609,2.6207953827958184,1259.1661805743333,0.28580171009315514,1.6816177226377431,129.3723840888308,4.70439992750487,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-20,98621.59836681654,664.6112547945851,710.8537638677412,2.9366145211137513,1400.6800774006442,0.31581913831793296,1.666168487056441,141.51389682631088,4.741921008922514,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-21,98470.1118222093,731.7736192874537,794.8298252738721,3.284733229360798,1555.0991539557292,0.3481187082470467,1.6501141550732632,154.41907655508498,4.781322458866507,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-22,98305.31959788472,803.9077407048321,887.105201537199,3.66745987324871,1723.164541843758,0.3827266438879118,1.633427017949387,168.06538788802868,4.822749262263542,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-23,98126.72522851963,880.9076986765807,988.2797219367093,4.0873508670830505,1905.4110915054887,0.4198909938343407,1.6160791261553549,182.2465496617308,4.866361702561069,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-24,97933.7710010843,962.7436177582535,1098.9384887966717,4.546892360763724,2102.4320863811326,0.4595414936806739,1.5980453548592046,197.02099487564396,4.912337434235842,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-25,97725.86569457759,1049.4280507407916,1219.6577262162507,5.048528465361148,2314.8527010221605,0.5016361045974236,1.5792986952469095,212.4206146410279,4.960873901603431,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-26,97503.10980945741,1140.3816393892062,1350.9142186034264,5.594332549947589,2542.6132716651855,0.5458040845864414,1.5598106666606106,227.76057064302495,5.012191173370973,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-27,97265.95539633218,1234.724201477161,1493.134212627417,6.1861895632369235,2785.30608258246,0.5918570132893342,1.5395627101341591,242.69281091727453,5.066535278759039,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-28,97014.57077466647,1331.8329686879588,1646.7701793107394,6.82607733481402,3042.8041127483884,0.6398877715770963,1.5185401691560618,257.4980301659284,5.124182151882796,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-29,96749.88921068326,1430.6698712544235,1811.9263228536527,7.514595208638243,3314.219519263956,0.6885178738242228,1.4967220125627345,271.4154065155676,5.185442317831891,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-04-30,96472.78683456636,1530.2278594505449,1988.7328604914085,8.252445491663195,3598.7212871699667,0.7378502830249527,1.4740968892072581,284.5017679060106,5.250666488426744,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-01,96184.19359159807,1629.4750444605547,2177.2911515949636,9.040212346389536,3895.42394925314,0.7877668547263408,1.4506498075223502,296.70266208317344,5.320252280560414,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-02,95886.07062663604,1726.8411888513328,2377.2116668410927,9.876517671524493,4202.411843991254,0.8363053251349566,1.426363557485827,306.9878947381135,5.3946523289552735,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-03,95580.00635680754,1820.9506416336203,2588.2823089315716,10.760692627248586,4518.141674238258,0.8841749557240934,1.4031691013776215,315.72983024700443,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-04,95265.33391524052,1912.6570428370605,2810.316878937696,11.692162984696452,4843.32314830862,0.931470357447866,1.3986902451302812,325.1814740703621,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-05,94937.00751016785,2007.2209433770163,3043.1013212668654,12.670225188248459,5183.040469370032,0.9780622035520068,1.3940854193805519,339.7173210614119,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-06,94592.96162032234,2106.582051465877,3286.760772606573,13.695555605202053,5539.40287857041,1.0253304169535937,1.3892807854670581,356.36240920037835,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-07,94233.66623810647,2209.4896216716947,3542.072668264911,14.771471956927005,5911.991224561685,1.0759163517249526,1.3842461171473297,372.58834599127476,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-08,93858.72168585539,2315.899546513282,3809.4788396918407,15.899927939492269,6301.251098035465,1.1284559825652636,1.3789882921546248,389.2598734737794,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-09,93467.92771180737,2425.726055271627,4089.264001953714,17.08223096728589,6707.424434535292,1.1823030277936226,1.3735014617212749,406.1733364998272,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-10,93060.99123509362,2538.902069025107,4381.786690941045,18.32000494021483,7130.851189186383,1.237773972928938,1.3677826954207561,423.42675465109096,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-11,92637.6143712149,2655.3362921693124,4687.434319714819,19.615016900970275,7571.8829794816575,1.2950119607554456,1.361827704392168,441.03179029527473,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-12,92197.57864109203,2774.9043037813512,5006.548210319204,20.968844807413934,8030.790903071409,1.3538279064436587,1.355632129479666,458.9079235897516,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-13,91740.77302760305,2897.422806023718,5339.421285010111,22.382881363127098,8507.74074630264,1.4140365557131638,1.349192773523421,476.94984323123026,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-14,91266.99562516033,3022.758542553222,5686.3871575634785,23.85867472296607,9002.98730121716,1.475793359838974,1.3425080119308908,495.24655491451995,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-15,90776.04271855336,3150.7792533713164,6047.780251938444,25.397776136879504,9516.787131993062,1.539101413913432,1.3355748900739408,513.7998307759026,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-16,90267.88746447527,3281.260389796065,6423.8507320143335,27.001413714329793,10049.223518258703,1.6036375774502893,1.3283904268429376,532.436386265641,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
