outbreak,month,mean_absolute_error,lower_bound_absolute_error,upper_bound_absolute_error,mean_percentual_absolute_error,lower_percentual_percentual_absolute_error,upper_percentual_percentual_absolute_error
0.0,1,3.1007285229732964,2.549986592311257,3.614778048264317,136.00426226183708,113.11226190713211,158.86718764663811
0.0,2,165.98266145589122,109.79791295206634,221.6009741738701,1275.380830186385,834.430898694312,1690.5696842666164
0.0,3,120.04617104057832,88.81870024830467,154.53687040799474,777.4442482959537,584.0754312571006,1016.8036771066593
1.0,1,0.9674746841318054,0.8998108300312698,1.0280637019709709,6.67513570452526,6.231751171578683,7.1247775999558165
1.0,2,1.2610267402619282,1.0876250812642845,1.4220089261439757,9.201405886147459,7.9853985081414045,10.34819556710869
1.0,3,0.9303567442560781,0.723642977661225,1.1371346667307252,8.84785011237948,6.900794110643139,10.818151461361198
2.0,1,2.361177176623298,1.5681406999561203,3.2404121657590417,27.876423072554427,18.359777090273735,39.670851550463986
2.0,2,12.463465863272912,6.621413601184714,19.475214041120047,92.18844313716853,50.14285718466044,153.0001558923283
2.0,3,27.717535881485382,14.815074521224327,43.07866267982209,171.5771437982026,92.78861286433825,269.2861861478821
3.0,1,2.2584332916673446,1.9962166503194938,2.5691809667183474,13.98015809557925,12.262748160927348,15.909036193954162
3.0,2,8.141678404782677,7.465968289137134,8.968105075644864,41.3694153366775,37.8710688126462,45.459759666385885
3.0,3,37.19171372276892,36.22646401972682,38.19684612839201,80.60909042173311,78.68366348883222,82.68161302774735
4.0,1,9.26651487597607,7.791473126809625,10.567439448407356,34.710696212949536,29.597046206747496,39.70634719028197
4.0,2,28.052410876536335,24.327731076684607,31.226511831969933,59.797295708271214,52.98433673336757,66.37286835275812
4.0,3,14.740491276691046,12.04131085323376,17.220355735301233,49.36723238637781,40.18614298490121,58.2165812680834
5.0,1,7.9772464528573765,6.427945997269614,9.772454719461571,28.923987301542816,22.690842051987882,35.262487544564955
5.0,2,7.02136623573446,4.961274668006142,9.096372725973778,36.54069585071827,25.619800199555833,47.06861213592933
5.0,3,5.176687870032742,3.9606079883462906,6.303032569228474,48.91828935958741,38.52521760030703,60.136106943251825
6.0,1,6.738084283489746,4.226515234561858,9.873925729283371,97.03129295976792,62.33741682014836,141.85104300877347
6.0,2,22.790281480561035,11.734880076970406,39.65665344482171,214.23820912073415,109.47455269202567,365.0186424323545
6.0,3,23.4094348042933,3.5537318682466976,61.90824373710989,1016.4972048922216,142.25360498940407,2500.664840538435
7.0,1,0.9079478824118782,0.628659724056153,1.2645296201289142,137.25292921500986,92.05247546858415,189.12604206096444
7.0,2,1.017844778601432,0.6709342527179645,1.3910047997257056,44.39541538338445,30.06123160118003,61.656414358975205
7.0,3,1.1447712902823672,0.9215432470456362,1.3547184212039824,36.809111992964446,30.332619903502305,43.69936225819912
8.0,1,0.09023528059538803,0.062403133397521154,0.11638961557578652,18.572770813890255,13.8313451080547,23.607010440277293
8.0,2,1.5425398748891763,1.381764533159143,1.8151923589897017,79.94396093749326,71.04533977094695,93.53933498922537
8.0,3,2.0571931299372888,0.26556603993066696,5.594989350142657,704.6172570469747,90.06634167653691,1920.7528603141543
