outbreak,alpha,estimation,mae_fit,sse_D_fit,r2_D_fit,sse_Rt_fit,r2_Rt_fit,mae_predicton,sse_D_predicton,r2_D_predicton,sse_Rt_predicton,r2_Rt_predicton,mae_predicton_month_1,sse_D_predicton_month_1,r2_D_predicton_month_1,sse_Rt_predicton_month_1,r2_Rt_predicton_month_1,mae_predicton_month_2,sse_D_predicton_month_2,r2_D_predicton_month_2,sse_Rt_predicton_month_2,r2_Rt_predicton_month_2,mae_predicton_month_3,sse_D_predicton_month_3,r2_D_predicton_month_3,sse_Rt_predicton_month_3,r2_Rt_predicton_month_3
2.0,0.1,7.0,0.8757020624282373,0.12683937891392397,0.3643926049286399,0.28088534646509944,-1.0767265029044295,0.5583536349037526,0.059529995659478814,-327.4019504375679,0.007448472044117097,-0.8332735798891906,0.3343582354230126,0.007647400971897498,-127.0395268898188,0.013317971347042172,-2.907599140088933,0.5742516978172664,0.06042018909876617,-3088.9015424356776,0.0040380981641484825,-1.7505458682807054,0.6555157851172323,0.11052239690777282,-11544.26427863121,0.0049893466211606416,0.00988270967476057
2.0,0.1,8.0,0.8758011417721265,0.093289299444442,0.3878375475058179,0.18000152727251137,-0.3308417365109715,0.6160564275209122,0.07288865362735764,-937.395123187346,0.008178848180177598,-1.013039210436037,0.404206198878456,0.01297498315071518,-219.74220435689887,0.01624500725746054,-3.766414849217222,0.6301431857822619,0.07663371797662295,-27974.429650959755,0.0028664505309093174,-0.9524794455030858,0.7064749706775004,0.1290572597547348,-20010.329422623425,0.005425086752162933,-0.07658829956804714
2.0,0.1,9.0,0.9505857170463607,0.16733671254201143,0.225771176565273,0.2151764981221505,-0.5909079703734517,0.6059738316994769,0.0680521672277308,-264.79099778354924,0.007112958381875496,-0.7506944510374955,0.47013186093296966,0.017518260730039988,-4837.140126359206,0.013430511743639404,-2.940619391109843,0.6057024302682535,0.07273915456999437,-1202.2385165735816,0.0013743995326717029,0.06382935672039314,0.6741573336621576,0.11389908638315813,-15372.491602451948,0.006533963869315382,-0.29664084149451764
2.0,0.1,10.0,1.0121168347981522,0.07484310850018483,0.37721311691842385,0.4483512738347111,-2.3148862505691343,0.6957630282965044,0.0902170316374376,-1584.6182189851327,0.009500287582407185,-1.338281747319214,0.5435375010607625,0.021784948437960396,-332.71942955485264,0.021237398717011417,-5.231222368769439,0.6982565901050881,0.09733813581852362,-79367.07212492538,0.0021978171890183217,-0.497040622281508,0.7608451005135559,0.15152801065582885,-7458.358949034142,0.005065646841191808,-0.005258785363502438
2.0,0.1,11.0,0.8481823797742869,0.06443981014052177,-0.5563540214598168,0.13634506910944527,-0.0080676052465527,0.787685935084857,0.11050061575006094,-148.30265386415726,0.006965820206515527,-0.7144797041897069,0.7545917250123411,0.04563197131669592,-3516.7838874422537,0.0088855153999348,-1.6070811710931863,0.7916094671192516,0.1242084239231709,-1240.6369806162413,0.0029072709579393173,-0.9802842319012135,0.8064006789908154,0.16166145201031593,-1300.3483581238952,0.009104674261672462,-0.8067887628869634
2.0,0.1,12.0,1.1738901344336716,0.15213336340421924,0.19561752162549384,0.2653442586197409,-0.9618234315317398,0.945812633434538,0.13816826760380707,-98.78775619157949,0.051918398431103616,-11.778544054424907,0.8694130955844303,0.037545636480669844,-19.74186029833448,0.1341877168395677,-38.37174763852056,0.9247722083213499,0.15892350049949627,-17390.707107102822,0.007714328510790674,-4.254605893512181,0.9422107699594113,0.21803566583125505,-2641.0601124911336,0.013853149942952472,-1.7491061105701688
2.0,0.1,13.0,0.8503633019970745,0.16503770922055966,0.2247382948593295,0.19908626428430418,-0.4719447867488584,0.5135440899579954,0.047496025071732825,-121.39541511207659,0.007947579091278547,-0.9561175346866408,0.3374389954882039,0.0060999747053087,-43.627278327830226,0.014371110845697348,-3.2165986785398575,0.5117957817179933,0.04614556393086822,-1117.8364639033123,0.004475227799897682,-2.048296211298072,0.5984157101324505,0.09024253657902157,-4533.879727846293,0.004996398628240607,0.008483265083808256
2.0,0.1,14.0,0.8941981483417003,0.07963607653296575,-3.2734957479746,0.1222275378492002,0.09631039699777444,0.7414900753074324,0.10125830143401367,-20.24927759997595,0.024714993001428917,-5.083038699521174,0.2557230168774819,0.005863699344351039,-35.35416692586242,0.0058713489498260505,-0.7227006658636332,0.818385006621781,0.08702697378849081,-77.80399220202452,0.045078250981702574,-29.704998231064177,0.9661172216085482,0.21088423116919916,-1153.0211380651463,0.02319537907275813,-3.6030367539875527
2.0,0.1,15.0,1.08068590151622,0.10706191223159252,0.3004368675622473,0.3191909336693861,-1.3599389565179298,0.6981534452865674,0.0937180688998186,-55.91043774723303,0.012290866223839635,-2.0251198082852593,0.36751925805698377,0.01060845758040328,-109.20113803827299,0.01324979851079997,-2.887596685560706,0.7616495763545258,0.09039012339661713,-292.3563676013424,0.01837087107768924,-11.513297469604963,0.8135274876037469,0.18015562572243532,-7987.386761839346,0.00525192908302971,-0.042225803798743744
2.0,0.1,16.0,0.8998550867855397,0.09710635737663217,0.3983820152982718,0.23305291104705023,-0.7230772734902142,0.6093425865758568,0.07172600829680995,-889.0546607021993,0.007776685635758662,-0.9140559608329784,0.38995187893864025,0.012283210628403088,-252.89032815423474,0.014886412428811896,-3.3677922778196816,0.6260152050895222,0.07496532842590449,-17676.305234534724,0.0031380299454154418,-1.1374654478523953,0.7027037282134369,0.12792948583612224,-20322.260999141,0.005305614533048648,-0.05287948179281288
2.0,0.1,17.0,3.661853384726085,2.7275583166567263,-0.278976822235945,0.1768988517285571,-0.3079020972128288,1.776743909529521,0.592800607472322,-100.58246913586454,0.011101884817213368,-1.732478822746621,3.3063398106791633,0.9226967961383769,-138.97024672313776,0.026057810013977598,-6.645569535320703,1.422477761221722,0.4232429320197238,-5687.154616457768,0.0023231640363209427,-0.5824204815457612,1.2397473216872126,0.4324620942588652,-195.54852529653607,0.004924680401341561,0.022715480617411465
2.0,0.1,18.0,0.5535915729359959,0.03483730071746864,0.2439024543292213,0.1133549844982278,0.16190964211427727,1.2703276048261856,0.35758973859193666,-0.8582466783890399,0.057702364941591096,-13.202137098452699,3.360593124926313,0.9356187982434554,-36.714335750456144,0.050676275929676474,-13.86882401873411,0.6625964864450792,0.04342196814582903,-0.3724432961132045,0.10951594546537279,-73.5966588888402,0.6533088925867646,0.09372844938652526,-141.43181370561086,0.012914873429724076,-1.5629086243274903
