simulation_parameter,simulation_pertubation,days_to_recovery,estimation,period_in_days,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_case_fatality_probability_1,x_loss_immunity_in_days_1,x_case_fatality_probability_2,x_loss_immunity_in_days_2,x_case_fatality_probability_3,x_loss_immunity_in_days_3,x_case_fatality_probability_4,x_loss_immunity_in_days_4,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1,x_days_between_infections_2,x_breakpoint_2,x_transition_days_between_epidemic_periods_2,x_days_between_infections_3,x_breakpoint_3,x_transition_days_between_epidemic_periods_3,x_days_between_infections_4,x_breakpoint_4,x_transition_days_between_epidemic_periods_4,x_days_between_infections_5,x_breakpoint_5,x_transition_days_between_epidemic_periods_5,x_days_between_infections_6,x_breakpoint_6,x_transition_days_between_epidemic_periods_6,x_days_between_infections_7,x_breakpoint_7,x_transition_days_between_epidemic_periods_7,x_days_between_infections_8,x_breakpoint_8,x_transition_days_between_epidemic_periods_8,x_days_between_infections_9,x_breakpoint_9,x_transition_days_between_epidemic_periods_9,x_days_between_infections_10,x_breakpoint_10,x_transition_days_between_epidemic_periods_10,date_first_case,base_input,simulation_output,simulation_input,base_output,percentual_difference_in_outcome,percentual_difference_in_input,elasticity
x_initial_infected_population,1.01,8.0,2.0,1050.0,0.0319834101114269,3.291382964479323,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0316667426845811,0.1767861950034155,0.0319834101114269,0.1738055130680814,1.7149524676852828,1.0000000000000115,1.714952467685263
x_initial_infected_population,1.1,8.0,2.0,1050.0,0.0348334169530392,3.291382964479323,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0316667426845811,0.1895859932338721,0.0348334169530392,0.1738055130680814,9.079389880808511,10.000000000000004,0.9079389880808508
x_initial_infected_population,1.5,8.0,2.0,1050.0,0.0475001140268717,3.291382964479323,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0316667426845811,0.2670669589297413,0.0475001140268717,0.1738055130680814,53.65850841861874,49.99999999999999,1.073170168372375
x_days_between_infections_0,1.01,8.0,2.0,1050.0,0.0316667426845811,3.324296794124116,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,3.291382964479323,0.1763629501266979,3.324296794124116,0.1738055130680814,1.4714360974353686,0.9999999999999948,1.4714360974353764
x_days_between_infections_0,1.1,8.0,2.0,1050.0,0.0316667426845811,3.620521260927256,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,3.291382964479323,0.3959531289183612,3.620521260927256,0.1738055130680814,127.81390643417755,10.000000000000014,12.781390643417735
x_days_between_infections_0,1.5,8.0,2.0,1050.0,0.0316667426845811,4.937074446718984,0.0089420963809976,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,3.291382964479323,0.8380403637194745,4.937074446718984,0.1738055130680814,382.171335607292,49.99999999999999,7.643426712145842
x_case_fatality_probability_0,1.01,8.0,2.0,1050.0,0.0316667426845811,3.291382964479323,0.0090315173448076,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0089420963809976,0.1743835909195301,0.0090315173448076,0.1738055130680814,0.3326004113703001,0.9999999999999916,0.3326004113703029
x_case_fatality_probability_0,1.1,8.0,2.0,1050.0,0.0316667426845811,3.291382964479323,0.0098363060190974,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0089420963809976,0.1887895023473036,0.0098363060190974,0.1738055130680814,8.621124275472694,10.000000000000012,0.8621124275472682
x_case_fatality_probability_0,1.5,8.0,2.0,1050.0,0.0316667426845811,3.291382964479323,0.0134131445714965,236.52543303662503,0.0042574628556339,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0089420963809976,0.2472164966417003,0.0134131445714965,0.1738055130680814,42.237430952413504,49.99999999999999,0.8447486190482704
x_case_fatality_probability_1,1.01,8.0,2.0,1050.0,0.0316667426845811,3.291382964479323,0.0089420963809976,236.52543303662503,0.0043000374841902,257.9908678556118,0.002605050127149,225.57708985903324,0.0004379415233504,286.78649755181794,0.0001166226970851,332.5811270735482,8.087679045889058,55.81954133699357,33.529806026366366,7.120328018425566,111.75279491281772,16.605765952424868,7.632892242811015,130.79067148966425,35.39363752698516,6.21486170525631,257.64498754708137,6.613649772853785,6.527131029285587,314.211497233906,25.790629273880175,5.2051498689296425,358.7846951838809,4.513116886724568,4.211847460437139,447.5781379006984,2.7188611161782803,2.5513610929113035,676.3116743141832,4.587437422302472,1.8862952364045384,799.6952119696416,8.805480339655778,1.506083740608089,983.5846925401968,5.880941360939675,2020-02-16,0.0042574628556339,0.1743321889406304,0.0043000374841902,0.1738055130680814,0.3030259876410023,1.0000000000000109,0.303025987640999
