outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
0.0,2020-02-16,True,,,,0.0,False
0.0,2020-02-17,True,7.587554480594846e-06,7.284187191622892e-06,7.909694593165401e-06,0.0,False
0.0,2020-02-18,True,9.167396260545053e-06,8.770073016783338e-06,9.544374456171754e-06,0.0,False
0.0,2020-02-19,True,1.1078351465535059e-05,1.0674180026869032e-05,1.1497756965185636e-05,0.0,False
0.0,2020-02-20,True,1.3394010556394098e-05,1.2873930766786222e-05,1.3943099101544418e-05,0.0,False
0.0,2020-02-21,True,1.618979494661854e-05,1.5485152399721628e-05,1.6832149605708136e-05,0.0,False
0.0,2020-02-22,True,1.9565023564476728e-05,1.874847630656384e-05,2.0377292878826482e-05,0.0,False
0.0,2020-02-23,True,2.3645494061140027e-05,2.2713331008145824e-05,2.462222102354376e-05,0.0,False
0.0,2020-02-24,True,2.8574893771213098e-05,2.7490723943445606e-05,2.9701300084076927e-05,0.0,False
0.0,2020-02-25,True,3.45365510225069e-05,3.3200929804391556e-05,3.59128851091924e-05,0.0,False
0.0,2020-02-26,True,4.174695567195565e-05,4.0104701647151236e-05,4.350697990742106e-05,0.0,False
0.0,2020-02-27,True,5.046097131261667e-05,4.837244044897841e-05,5.266344994999128e-05,0.0,False
0.0,2020-02-28,True,6.0987995473110726e-05,5.860210476712202e-05,6.322616807989074e-05,0.0,False
0.0,2020-02-29,True,7.371313408981082e-05,7.08594009476614e-05,7.655899331001046e-05,0.0,False
0.0,2020-03-01,True,8.90908054358986e-05,8.5733815131437e-05,9.270615323133015e-05,0.0,False
0.0,2020-03-02,True,0.00010769902293955999,0.0001037002381426709,0.00011189807699178322,0.0,False
0.0,2020-03-03,True,0.00013019828200434,0.00012539805438548291,0.00013597183345096436,0.0,False
0.0,2020-03-04,True,0.00015736695152026,0.00015124881994981834,0.0001633489115707685,0.0,False
0.0,2020-03-05,True,0.00019019486027229,0.00018285085324911012,0.0001976718251567309,0.0,False
0.0,2020-03-06,True,0.00022986641729729,0.00022114151185211213,0.00023910145042536183,0.0,False
0.0,2020-03-07,True,0.00027782734442172,0.00026688502141628505,0.0002896394969228065,0.0,False
0.0,2020-03-08,True,0.00033578959346817507,0.0003225969013834963,0.0003489326702109279,0.0,False
0.0,2020-03-09,True,0.00040585060049844,0.00039026232023200226,0.00042142549287909454,0.0,False
0.0,2020-03-10,True,0.0004905385046743099,0.00047185582100127106,0.0005094334173711929,0.0,False
0.0,2020-03-11,True,0.00059285518004149,0.0005701070863131161,0.0006152360754661377,0.0,False
0.0,2020-03-12,True,0.000716572695137405,0.0006891515160445811,0.0007443568886764635,0.0009849183782381,False
0.0,2020-03-13,True,0.0008660261151995751,0.000830717648118088,0.0008993277372958488,0.0009849183782381,False
0.0,2020-03-14,True,0.0010468152120330049,0.001007314070974104,0.0010885329891118585,0.0011490714412778,False
0.0,2020-03-15,True,0.00126508676536703,0.001215621949098257,0.0013126219499128122,0.0012311479727976,True
0.0,2020-03-16,True,0.0015290510680697402,0.0014602133083180067,0.0015874021368121839,0.001575869405181,True
0.0,2020-03-17,True,0.00184799787855985,0.0017755118078086564,0.0019274869929530236,0.0014773775673571,False
0.0,2020-03-18,True,0.00223335966776775,0.0021452620057369463,0.0023298987594976076,0.0018291341310136,False
0.0,2020-03-19,True,0.0026994327900285997,0.0025977740406276486,0.002818970021299732,0.0026029985710579,True
0.0,2020-03-20,True,0.0032623631671403904,0.0031175437073653347,0.0033900226310851302,0.003587916949296,False
0.0,2020-03-21,True,0.003943227183162556,0.0037870080065085473,0.004094529592776544,0.004783889265728,False
0.0,2020-03-22,True,0.004713473748700304,0.004546274155889559,0.004888318477575772,0.0059095102694287,False
0.0,2020-03-23,False,0.005536335001204019,0.005356160846820818,0.0057173729455737956,0.0083014549022927,False
0.0,2020-03-24,False,0.0064953540968571005,0.006246012492089837,0.006770105855017747,0.0116079666006636,False
0.0,2020-03-25,False,0.007634700292438339,0.007222133367710044,0.008059683113114183,0.0141406138589902,False
0.0,2020-03-26,False,0.008997546848080044,0.008379492345327866,0.00964622495789107,0.016954666368242,False
0.0,2020-03-27,False,0.010609623903409787,0.009757881075428073,0.011457826055564396,0.0196280162520312,False
0.0,2020-03-28,False,0.012538952074597773,0.011280383262096471,0.013752601063518362,0.0233566358267898,False
0.0,2020-03-29,False,0.014841432661263948,0.013117265534650872,0.016392074122936254,0.0268038501506232,False
0.0,2020-03-30,False,0.017594403444679742,0.015462895532734045,0.019747957548157717,0.0308842262890383,False
0.0,2020-03-31,False,0.020884385254597366,0.017834486429883774,0.023728871559306596,0.0345424945510657,False
0.0,2020-04-01,False,0.024815832512954755,0.02117914317763532,0.028376051079270867,0.0394670864422563,False
0.0,2020-04-02,False,0.029530173793075952,0.024651968328841766,0.03421792843128728,0.0448137862098347,False
0.0,2020-04-03,False,0.03516840541762845,0.029152735677632984,0.04112004168494707,0.0524820792975458,False
0.0,2020-04-04,False,0.04193040970955391,0.03443363817223378,0.04926610997841507,0.0600096697597943,False
0.0,2020-04-05,False,0.050028277158036163,0.03951553276199064,0.05865727355901247,0.0690849891021314,False
0.0,2020-04-06,False,0.05974341843417498,0.04674472992200213,0.07113246195977965,0.0749944993715601,False
0.0,2020-04-07,False,0.07139736988589256,0.05671871846459468,0.08592502408757048,0.0816075227683018,True
0.0,2020-04-08,False,0.08536139877660012,0.06578400820556057,0.10304188172852026,0.087868789601387,True
0.0,2020-04-09,False,0.10212440653344088,0.08150601064472815,0.12299863169876095,0.0934968946198906,True
0.0,2020-04-10,False,0.12220383115111992,0.09347049748666363,0.14928467091306988,0.097647622071037,True
0.0,2020-04-11,False,0.1462947147041346,0.1117889781092833,0.18297791241077296,0.1028536192131528,False
0.0,2020-04-12,False,0.17514882155496275,0.13150717819275107,0.214976621924701,0.1087631294825816,False
0.0,2020-04-13,False,0.2097051465363911,0.16156106733238815,0.259452646639964,0.1157982607557111,False
0.0,2020-04-14,False,0.2510760676109754,0.18840914434426492,0.3116965182817049,0.1217781223378711,False
0.0,2020-04-15,False,0.30048031844931705,0.2185981496596335,0.3746189434566249,0.1300092259274326,False
0.0,2020-04-16,False,0.359525350450714,0.25777494042695537,0.44655646771276525,0.1402805175862016,False
0.0,2020-04-17,False,0.4298311345331921,0.30475268612778594,0.5331510094179678,0.151114619746821,False
0.0,2020-04-18,False,0.513513209603271,0.37336974265699574,0.6430342264469776,0.1623004784710968,False
0.0,2020-04-19,False,0.6128315332563964,0.4322572253547526,0.7676685465127732,0.1725717701298659,False
0.0,2020-04-20,False,0.7302347947607408,0.5261549327437904,0.9005157900019731,0.1867123839888561,False
0.0,2020-04-21,False,0.8687140341464842,0.6244217955040364,1.084857467336656,0.200290187345996,False
0.0,2020-04-22,False,1.031338925889566,0.7305577929342872,1.3073365624969222,0.2183001234052075,False
0.0,2020-04-23,False,1.2213581559711062,0.8794044284818886,1.5436361017369866,0.2365211134026128,False
0.0,2020-04-24,False,1.4421302430595089,1.0528484457645746,1.8112348800976117,0.2537571850217801,False
0.0,2020-04-25,False,1.6972867561940705,1.211018910725836,2.1348026856529465,0.2721188776446479,False
0.0,2020-04-26,False,1.9894740122137655,1.3905221836188302,2.481933168019264,0.2935760280276928,False
0.0,2020-04-27,False,2.3214453890890194,1.6518408764783492,2.98516238058672,0.312219125901486,False
0.0,2020-04-28,False,2.6955662333149943,1.8721704520281992,3.4460102783297053,0.3411335154340481,False
0.0,2020-04-29,False,3.1113641859651557,2.1651103576419217,3.852202366143036,0.3635052328825998,False
